event,catalog,waveform,af_source,M_total_Msun,chi_eff_med,a_final_med,redshift,n_seraphim,n_sph_std,n_carrier_schwarz,n_carrier_kerr_binary,n_carrier_kerr_remnant,kerr_remnant_delta,gap_schwarz,gap_kerr_binary,gap_kerr_remnant,delta_schwarz,delta_kerr_binary,delta_kerr_remnant,log2_M,alpha_inv,n_BBH_theory
GW190701_203306,GWTC-2.1,C01:IMRPhenomXPHM,posterior,93.2884,-0.085,0.6618,0.3972,5.302204,0.101025,138.175558,138.26464,137.183919,-0.991639,132.873354,132.962436,131.881715,-4.162645,-4.073563,-5.154284,6.543627,137.035999,5.313987
GW190706_222641,GWTC-2.1,C01:IMRPhenomXPHM,posterior,112.6867,0.2845,0.7948,0.5847,5.367637,0.216754,138.448106,138.104001,137.111601,-1.336504,133.080469,132.736364,131.743964,-3.95553,-4.299635,-5.292035,6.816174,137.035999,5.313987
GW190706_222641,GWTC-2.1,C01:IMRPhenomXPHM,posterior,107.3694,0.322,0.8121,0.7055,5.409494,0.192508,138.378371,137.982187,136.987477,-1.390894,132.968877,132.572692,131.577983,-4.067122,-4.463307,-5.458016,6.746439,137.035999,5.313987
GW190707_093326,GWTC-2.1,C01:IMRPhenomXPHM,posterior,20.0104,-0.0641,0.6587,0.1627,5.310886,0.060051,135.954607,136.022257,134.969808,-0.984799,130.643721,130.711371,129.658922,-6.392278,-6.324628,-7.377077,4.322675,137.035999,5.313987
GW190707_093326,GWTC-2.1,C01:IMRPhenomXPHM,posterior,19.8959,-0.0634,0.6588,0.1698,5.310628,0.06179,135.946329,136.013308,134.96129,-0.985039,130.635702,130.70268,129.650662,-6.400298,-6.333319,-7.385337,4.314397,137.035999,5.313987
GW190708_232457,GWTC-2.1,C01:IMRPhenomXPHM,posterior,30.7827,0.0185,0.6849,0.186,5.341842,0.066382,136.575979,136.555863,135.531442,-1.044538,131.234138,131.214021,130.1896,-5.801862,-5.821978,-6.846399,4.944047,137.035999,5.313987
GW190708_232457,GWTC-2.1,C01:IMRPhenomXPHM,posterior,30.6395,0.0196,0.6851,0.1917,5.341296,0.066952,136.569253,136.547895,135.524248,-1.045004,131.227957,131.206599,130.182953,-5.808042,-5.8294,-6.853046,4.937321,137.035999,5.313987
GW190719_215514,GWTC-2.1,C01:IMRPhenomXPHM,posterior,57.1791,0.25,0.7625,0.613,5.364594,0.291803,137.469349,137.171531,136.227072,-1.242277,132.104755,131.806937,130.862478,-4.931244,-5.229062,-6.173521,5.837417,137.035999,5.313987
GW190719_215514,GWTC-2.1,C01:IMRPhenomXPHM,posterior,55.3494,0.3041,0.788,0.7518,5.397818,0.258313,137.422428,137.051336,136.106354,-1.316073,132.024609,131.653518,130.708536,-5.01139,-5.382481,-6.327463,5.790496,137.035999,5.313987
GW190720_000836,GWTC-2.1,C01:IMRPhenomXPHM,posterior,21.7909,0.174,0.7185,0.1543,5.328987,0.126499,136.077588,135.876855,134.951605,-1.125983,130.748602,130.547868,129.622618,-6.287398,-6.488131,-7.413381,4.445656,137.035999,5.313987
GW190720_000836,GWTC-2.1,C01:IMRPhenomXPHM,posterior,21.6999,0.175,0.719,0.1574,5.328458,0.127103,136.071548,135.869641,134.944481,-1.127067,130.743089,130.541183,129.616023,-6.29291,-6.494816,-7.419977,4.439616,137.035999,5.313987
GW190725_174728,GWTC-2.1,C01:IMRPhenomXPHM,posterior,18.3061,-0.0389,0.6459,0.2028,5.223844,0.222924,135.826185,135.867666,134.869538,-0.956646,130.602341,130.643822,129.645695,-6.433658,-6.392177,-7.390304,4.194253,137.035999,5.313987
GW190725_174728,GWTC-2.1,C01:IMRPhenomXPHM,posterior,18.1626,-0.0356,0.6462,0.2139,5.22203,0.223477,135.814829,135.852799,134.857491,-0.957338,130.592799,130.630769,129.635462,-6.4432,-6.40523,-7.400538,4.182897,137.035999,5.313987
