event,catalog,wf_key,n_samples,erad_field,median_M,median_E,median_n_your_K0,std_n_your_K0,delta_from_pred,in_bbh_band
GW200225_060421,GWTC-3,C01:IMRPhenomXPHM,195767,radiated_energy,33.3536,1.422090,5.285732,0.092831,-0.028268,1
GW200302_015811,GWTC-3,C01:IMRPhenomXPHM,39475,radiated_energy,57.4450,2.171128,5.201864,0.163701,-0.112136,1
GW200302_015811,GWTC-3,C01:IMRPhenomXPHM,104245,radiated_energy,56.8752,2.212619,5.225049,0.161466,-0.088951,1
GW200306_093714,GWTC-3,C01:IMRPhenomXPHM,29333,radiated_energy,43.7158,2.080492,5.376389,0.286720,0.062389,1
GW200306_093714,GWTC-3,C01:IMRPhenomXPHM,116436,radiated_energy,42.7835,2.183840,5.420931,0.264371,0.106931,1
GW200308_173609,GWTC-3,C01:IMRPhenomXPHM,3341,radiated_energy,102.5327,3.234601,5.185449,0.533146,-0.128551,1
GW200308_173609,GWTC-3,C01:IMRPhenomXPHM,132606,radiated_energy,103.0438,3.221089,5.170796,0.531856,-0.143204,1
GW200311_115853,GWTC-3,C01:IMRPhenomXPHM,109150,radiated_energy,61.4657,2.810185,5.338118,0.076073,0.024118,1
GW200311_115853,GWTC-3,C01:IMRPhenomXPHM,202628,radiated_energy,61.3428,2.807676,5.338984,0.074487,0.024984,1
GW200316_215756,GWTC-3,C01:IMRPhenomXPHM,67196,radiated_energy,21.7761,0.924518,5.291566,0.175532,-0.022434,1
GW200316_215756,GWTC-3,C01:IMRPhenomXPHM,134403,radiated_energy,21.5792,0.918635,5.293402,0.176450,-0.020598,1
GW200322_091133,GWTC-3,C01:IMRPhenomXPHM,4140,radiated_energy,76.6638,1.613173,5.026163,0.784262,-0.287837,1
GW200322_091133,GWTC-3,C01:IMRPhenomXPHM,137340,radiated_energy,83.8205,1.347675,4.632042,0.882896,-0.681958,1
GW230518_125908,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,11711,radiated_energy_non_evolved,9.6205,0.148942,4.552408,0.063381,-0.761592,0
GW230529_181500,GWTC-4,C00:IMRPhenomXPHM:HighSpin,5489,radiated_energy_non_evolved,5.0090,0.158085,5.066748,0.114409,-0.247252,1
GW230601_224134,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,14438,radiated_energy_non_evolved,108.7076,4.745025,5.303171,0.116334,-0.010829,1
GW230605_065343,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15769,radiated_energy_non_evolved,28.7266,1.275736,5.328961,0.080884,0.014961,1
GW230606_004305,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13904,radiated_energy_non_evolved,62.6625,2.584735,5.267314,0.124580,-0.046686,1
GW230608_205047,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13528,radiated_energy_non_evolved,78.8106,3.513776,5.323348,0.150314,0.009348,1
GW230609_064958,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13019,radiated_energy_non_evolved,59.9485,2.514976,5.277822,0.105161,-0.036178,1
GW230624_113103,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15846,radiated_energy_non_evolved,43.1645,1.961263,5.345692,0.132424,0.031692,1
GW230627_015337,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,9688,radiated_energy_non_evolved,14.1812,0.647282,5.336185,0.042723,0.022185,1
GW230628_231200,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15446,radiated_energy_non_evolved,59.2169,2.810764,5.360780,0.051053,0.046780,1
GW230630_125806,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,16819,radiated_energy_non_evolved,85.6976,4.158322,5.393335,0.186934,0.079335,1
GW230630_234532,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15135,radiated_energy_non_evolved,16.8310,0.721420,5.301217,0.073575,-0.012783,1
GW230702_185453,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,17288,radiated_energy_non_evolved,60.8191,2.070483,5.138509,0.221274,-0.175491,1
GW230704_021211,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,23018,radiated_energy_non_evolved,53.5414,2.231628,5.281083,0.126451,-0.032917,1
GW230704_212616,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,23006,radiated_energy_non_evolved,141.5987,6.748620,5.382914,0.256179,0.068914,1
GW230706_104333,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15235,radiated_energy_non_evolved,27.9525,1.400275,5.409279,0.074271,0.095279,1
GW230707_124047,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13678,radiated_energy_non_evolved,81.4944,3.726826,5.333081,0.081910,0.019081,1
