event,catalog,gamma_label,gamma_value,median_n,std_n,delta,in_band
GW230608_205047,GWTC-4,gamma_data_observed,0.257500,5.381671,0.150314,0.067671,1
GW230609_064958,GWTC-4,gamma_data_observed,0.257500,5.336144,0.105161,0.022144,1
GW230624_113103,GWTC-4,gamma_data_observed,0.257500,5.404014,0.132424,0.090014,1
GW230627_015337,GWTC-4,gamma_data_observed,0.257500,5.394508,0.042723,0.080508,1
GW230628_231200,GWTC-4,gamma_data_observed,0.257500,5.419102,0.051053,0.105102,1
GW230630_125806,GWTC-4,gamma_data_observed,0.257500,5.451657,0.186934,0.137657,1
GW230630_234532,GWTC-4,gamma_data_observed,0.257500,5.359539,0.073575,0.045539,1
GW230702_185453,GWTC-4,gamma_data_observed,0.257500,5.196831,0.221274,-0.117169,1
GW230704_021211,GWTC-4,gamma_data_observed,0.257500,5.339406,0.126451,0.025406,1
GW230704_212616,GWTC-4,gamma_data_observed,0.257500,5.441237,0.256179,0.127237,1
GW230706_104333,GWTC-4,gamma_data_observed,0.257500,5.467601,0.074271,0.153601,1
GW230707_124047,GWTC-4,gamma_data_observed,0.257500,5.391404,0.081910,0.077404,1
GW230708_053705,GWTC-4,gamma_data_observed,0.257500,5.441985,0.074190,0.127985,1
GW230708_230935,GWTC-4,gamma_data_observed,0.257500,5.349686,0.169230,0.035686,1
GW230709_122727,GWTC-4,gamma_data_observed,0.257500,5.412548,0.168621,0.098548,1
GW230712_090405,GWTC-4,gamma_data_observed,0.257500,5.146840,0.279950,-0.167160,1
GW230723_101834,GWTC-4,gamma_data_observed,0.257500,5.306640,0.108581,-0.007360,1
GW230726_002940,GWTC-4,gamma_data_observed,0.257500,5.401569,0.067661,0.087569,1
