targetid,field,ra,dec,z,zerr,spectype,flux_r,flux_g,comoving_mpc
39627694752661679,DESI-XMMLSS-v2.0,35.551505,-3.702980,1.060233,0.000053,GALAXY,,,3540.55
39627694752664099,DESI-XMMLSS-v2.0,35.620165,-3.630849,0.851118,0.000008,GALAXY,,,3003.77
39627694752664199,DESI-XMMLSS-v2.0,35.622490,-3.695317,1.225639,0.000070,GALAXY,,,3923.26
39627694748476823,DESI-XMMLSS-v2.0,35.548387,-3.836285,1.239223,0.000105,GALAXY,,,3951.75
39627688717066833,DESI-XMMLSS-v2.0,35.528882,-3.891867,0.958119,0.000055,GALAXY,,,3286.75
39627694748474852,DESI-XMMLSS-v2.0,35.495348,-3.785532,1.440220,0.000197,GALAXY,,,4367.49
3154695036076033,DESI-XMMLSS-v2.0,35.639183,-3.660830,0.165355,0.000006,GALAXY,,,697.36
2714890384965634,DESI-XMMLSS-v2.0,35.698626,-3.703533,0.138921,0.000012,GALAXY,,,591.20
39627688725446868,DESI-XMMLSS-v2.0,35.803335,-3.985274,1.609223,0.000149,GALAXY,,,4684.32
39627688721256869,DESI-XMMLSS-v2.0,35.662700,-4.002674,1.318347,0.000157,GALAXY,,,4120.57
39627688721259219,DESI-XMMLSS-v2.0,35.720234,-3.957551,0.835797,0.000171,GALAXY,,,2962.65
39627688725450669,DESI-XMMLSS-v2.0,35.918352,-3.992126,0.903012,0.000090,GALAXY,,,3143.51
39627688721260683,DESI-XMMLSS-v2.0,35.757133,-3.930727,0.460455,0.000043,GALAXY,,,1802.62
39627688725447769,DESI-XMMLSS-v2.0,35.828426,-4.039302,0.093908,0.000031,GALAXY,,,404.13
39627688725449296,DESI-XMMLSS-v2.0,35.876173,-3.989571,1.090084,0.000051,GALAXY,,,3612.41
39627694748469418,DESI-XMMLSS-v2.0,35.355784,-3.722887,0.432879,0.000126,GALAXY,,,1708.96
39627694744281619,DESI-XMMLSS-v2.0,35.289350,-3.627356,0.897161,0.000096,GALAXY,,,3127.60
39627694748470811,DESI-XMMLSS-v2.0,35.396391,-3.704595,0.927376,0.000037,GALAXY,,,3206.58
39627694752665414,DESI-XMMLSS-v2.0,35.655926,-3.812042,0.997225,0.000291,QSO,,,3385.56
39627688721255404,DESI-XMMLSS-v2.0,35.624229,-3.907126,0.435641,0.000068,GALAXY,,,1719.44
39627694752666221,DESI-XMMLSS-v2.0,35.679205,-3.824497,0.083387,0.000004,GALAXY,,,357.76
39627688721256010,DESI-XMMLSS-v2.0,35.639750,-3.939915,1.181268,0.000075,GALAXY,,,3823.02
39627694752667659,DESI-XMMLSS-v2.0,35.722411,-3.855551,0.144232,0.000010,GALAXY,,,611.72
39627688721255181,DESI-XMMLSS-v2.0,35.619070,-3.936186,1.382142,0.000071,GALAXY,,,4252.12
39627694752662279,DESI-XMMLSS-v2.0,35.568271,-3.853724,0.753721,0.000102,GALAXY,,,2731.31
39627694752664488,DESI-XMMLSS-v2.0,35.629739,-3.785130,1.037566,0.000098,GALAXY,,,3487.07
39627694748472667,DESI-XMMLSS-v2.0,35.440116,-3.763277,0.754072,0.000118,GALAXY,,,2731.31
