event_file,catalog,waveform_key,erad_strategy,M_total_med,log2_M,chi_eff_med,af_med,m_irr_final_med,e_th_med,e_th_frac_med,n_std,n_std_std,gap_std,n_irr,n_irr_std,gap_irr,n_above,n_above_std,gap_above,has_variant_c,in_band_std,n_samples
IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,76.6533,6.260276,0.072576,0.701051,67.5138,0.0,0.0,5.374768,0.050558,132.51744,5.466383,0.058749,132.425825,5.374332,0.072437,132.517876,1,1,210737
IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,59.5505,5.896042,0.083085,0.701958,52.7885,0.0,0.0,5.312568,0.26509,132.215406,5.401306,0.286608,132.126669,5.31622,0.322815,132.211754,1,1,28052
IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,59.0755,5.884488,0.120642,0.72347,52.1523,0.0,0.0,5.342713,0.233143,132.173707,5.436661,0.254314,132.079759,5.344032,0.288038,132.172389,1,1,141653
IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,115.6461,6.853573,0.115943,0.716648,101.9239,0.0,0.0,5.340886,0.181177,133.144619,5.433657,0.200615,133.051848,5.341746,0.234659,133.143758,1,1,34581
IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,113.3806,6.82503,0.152141,0.734551,99.157,0.0,0.0,5.36729,0.165953,133.089673,5.464832,0.185037,132.99213,5.367105,0.221337,133.089857,1,1,155451
IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,90.6749,6.502632,0.306515,0.797018,77.575,0.0,0.0,5.405048,0.255465,132.729516,5.520568,0.278011,132.613995,5.414563,0.308161,132.720001,1,1,32655
IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,88.8469,6.473249,0.332674,0.806822,75.4292,0.0,0.0,5.439634,0.214965,132.665546,5.560082,0.235224,132.545099,5.442984,0.266594,132.662197,1,1,152410
IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,59.3298,5.890684,0.091838,0.702329,52.3578,0.0,0.0,5.36844,0.081258,132.154176,5.45999,0.092254,132.062627,5.368013,0.098842,132.154604,1,1,87638
IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,58.8757,5.879601,0.094119,0.701665,52.0041,0.0,0.0,5.365539,0.08254,132.145994,5.456502,0.093702,132.055031,5.36501,0.09975,132.146523,1,1,171387
IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,93.6781,6.54964,-0.096975,0.657009,84.0079,0.0,0.0,5.29592,0.106625,132.885653,5.375177,0.120435,132.806395,5.296962,0.257421,132.884611,1,1,54580
IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,93.2884,6.543627,-0.084956,0.661783,83.4947,0.0,0.0,5.302204,0.101025,132.873354,5.382755,0.114528,132.792804,5.302745,0.244946,132.872814,1,1,160160
IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,112.6867,6.816174,0.284519,0.794802,96.898,0.0,0.0,5.367637,0.216754,133.080469,5.480409,0.240737,132.967696,5.369507,0.27087,133.078598,1,1,23977
IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,107.3694,6.746439,0.322003,0.812146,91.3642,0.0,0.0,5.409494,0.192508,132.968877,5.529914,0.215142,132.848457,5.40927,0.243251,132.969101,1,1,159868
IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,20.0104,4.322675,-0.064063,0.658716,17.9011,0.0,0.0,5.310886,0.060051,130.643721,5.391419,0.063231,130.563188,5.309996,0.10687,130.644611,1,1,203490
IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,19.8959,4.314397,-0.063413,0.658824,17.7987,0.0,0.0,5.310628,0.06179,130.635702,5.391188,0.064947,130.555141,5.309737,0.107235,130.636592,1,1,367463
IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,30.7827,4.944047,0.018507,0.684916,27.2789,0.0,0.0,5.341842,0.066382,131.234138,5.428614,0.071497,131.147365,5.341118,0.109963,131.234862,1,1,51021
IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,30.6395,4.937321,0.019641,0.685115,27.1407,0.0,0.0,5.341296,0.066952,131.227957,5.428069,0.072133,131.141184,5.340548,0.110424,131.228705,1,1,94772
IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,57.1791,5.837417,0.250034,0.762501,49.4784,0.0,0.0,5.364594,0.291803,132.104755,5.467624,0.310742,132.001724,5.365559,0.316677,132.10379,1,1,20708
IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,55.3494,5.790496,0.304115,0.788043,47.4621,0.0,0.0,5.397818,0.258313,132.024609,5.50919,0.277602,131.913237,5.398417,0.282579,132.024011,1,1,153538
IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,21.7909,4.445656,0.174005,0.718534,19.1447,0.0,0.0,5.328987,0.126499,130.748602,5.420951,0.13079,130.656638,5.327784,0.142195,130.749804,1,1,86699
