event_file,event_type,waveform_key,n_samples,median_n,mean_n,std_n,in_bbh_band,median_chi_eff,E_chi_eff_sq,beta_fixed,GB_value,delta_from_unity
IGWN-GWTC4p0-0f954158d_720-GW230630_234532-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,15135,5.30131,5.27847,0.07368,1,-0.04014,0.005964,0.814,0.825928,-0.174072
IGWN-GWTC4p0-0f954158d_720-GW230702_185453-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,17288,5.13821,5.09979,0.22133,1,0.05871,0.029262,0.814,0.872524,-0.127476
IGWN-GWTC4p0-0f954158d_720-GW230704_021211-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,23018,5.28105,5.25673,0.12649,1,-0.01389,0.016133,0.814,0.846265,-0.153735
IGWN-GWTC4p0-0f954158d_720-GW230704_212616-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,23006,5.38206,5.32731,0.25624,1,0.37719,0.170918,0.814,1.155836,0.155836
IGWN-GWTC4p0-0f954158d_720-GW230706_104333-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,15235,5.40878,5.39623,0.07499,1,0.19291,0.042923,0.814,0.899846,-0.100154
IGWN-GWTC4p0-0f954158d_720-GW230707_124047-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,13678,5.333,5.32659,0.08199,1,-0.04347,0.027165,0.814,0.86833,-0.13167
IGWN-GWTC4p0-0f954158d_720-GW230708_053705-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,15934,5.38436,5.38055,0.07464,1,0.07729,0.024566,0.814,0.863132,-0.136868
IGWN-GWTC4p0-0f954158d_720-GW230708_230935-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,14977,5.29116,5.25752,0.16924,1,0.02428,0.028352,0.814,0.870704,-0.129296
IGWN-GWTC4p0-0f954158d_720-GW230709_122727-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,12263,5.35381,5.32265,0.1688,1,0.09451,0.041512,0.814,0.897024,-0.102976
IGWN-GWTC4p0-0f954158d_720-GW230712_090405-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,26163,5.08814,5.05072,0.27933,1,-0.04105,0.035241,0.814,0.884482,-0.115518
IGWN-GWTC4p0-0f954158d_720-GW230723_101834-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,15000,5.24801,5.22865,0.10718,1,-0.15887,0.043988,0.814,0.901977,-0.098023
IGWN-GWTC4p0-0f954158d_720-GW230726_002940-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,13791,5.34321,5.33769,0.06778,1,-0.01655,0.016669,0.814,0.847339,-0.152661
IGWN-GWTC4p0-0f954158d_720-GW230729_082317-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,12605,5.33515,5.27928,0.14794,1,0.12476,0.0339,0.814,0.8818,-0.1182
IGWN-GWTC4p0-0f954158d_720-GW230731_215307-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,10904,5.32715,5.31152,0.04799,1,-0.04788,0.00414,0.814,0.82228,-0.17772
IGWN-GWTC4p0-0f954158d_720-GW230803_033412-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,16784,5.33373,5.30682,0.15002,1,0.09899,0.039639,0.814,0.893278,-0.106722
IGWN-GWTC4p0-0f954158d_720-GW230805_034249-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,16941,5.33543,5.3009,0.15431,1,0.08199,0.030235,0.814,0.874471,-0.125529
IGWN-GWTC4p0-0f954158d_720-GW230806_204041-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,14235,5.36262,5.34045,0.13465,1,0.09289,0.034113,0.814,0.882226,-0.117774
IGWN-GWTC4p0-0f954158d_720-GW230811_032116-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,17874,5.30473,5.29109,0.09819,1,0.01711,0.010668,0.814,0.835336,-0.164664
IGWN-GWTC4p0-0f954158d_720-GW230814_061920-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,13478,5.31596,5.29625,0.1325,1,0.05286,0.024317,0.814,0.862634,-0.137366
