file,median_n,median_mc,median_q,median_chi,n_samples
IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_cosmo.h5,5.2065793311851545,63.29157771847297,0.5871440654473903,-0.13978697648722976,24545
IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_nocosmo.h5,5.3060048848140475,62.471742960439855,0.6499429640593373,0.0014697325256841718,148527
IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_cosmo.h5,5.376225810794585,33.22820281702013,0.7641555489594354,0.07393591895145883,104558
IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_nocosmo.h5,5.3748028376670245,32.90586867925013,0.7597436577031269,0.07257629398722586,210737
IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_cosmo.h5,5.3126030715523385,23.923955051815028,0.5910324418380511,0.08308467090054342,28052
IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_nocosmo.h5,5.342748044902459,23.98828134755439,0.6201014421960829,0.12064247711629,141653
IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_cosmo.h5,5.340920562532023,48.028533153716374,0.6320443858775933,0.1159433591653016,34581
IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_nocosmo.h5,5.367324377727235,47.26517350656895,0.6547701747318884,0.15214125308776433,155451
IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_cosmo.h5,5.405082890108606,36.532936079317835,0.5443774491152321,0.3065145992678746,32655
IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_nocosmo.h5,5.4396693413611,36.246694294376226,0.5781005447761797,0.3326744022143112,152410
IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_cosmo.h5,5.36847480309775,25.159130955757668,0.7219692807624908,0.0918381592110835,87638
IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_nocosmo.h5,5.36557364594387,24.867783614320384,0.7069827677778554,0.09411877480637772,171387
IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_cosmo.h5,5.29595439972125,39.90108822942735,0.7542858965245662,-0.09697456682272355,54580
IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_nocosmo.h5,5.302238977197967,39.7788948879833,0.7620044441381745,-0.08495569226994039,160160
IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_cosmo.h5,5.367671565269989,45.18756466107001,0.5150928975525197,0.2845190103074524,23977
IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_nocosmo.h5,5.409529288731834,43.48920355457362,0.5410221415015373,0.3220030671610766,159868
IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_cosmo.h5,5.310920805044002,8.501693656980773,0.7253237288470735,-0.06406297653513984,203490
IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_nocosmo.h5,5.3106627062114775,8.45049789473818,0.7239041642517601,-0.06341295556195868,367463
IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_cosmo.h5,5.341876702525447,13.048421017436155,0.7310129633572282,0.01850699755474256,51021
IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_nocosmo.h5,5.341330471589688,12.987866611418053,0.7279280203354657,0.019640965470114416,94772
IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_cosmo.h5,5.3646285322059235,22.810689489544224,0.5557748774800608,0.2500336558402938,20708
IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_nocosmo.h5,5.397853169715987,22.295758135832997,0.5618333893306163,0.3041146210327779,153538
IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_cosmo.h5,5.329021678874845,8.975062252453696,0.5544138379268188,0.1740048835928489,86699
