event_file,catalog,waveform_key,median_n,in_bbh_band,n_posterior_samples,median_chi_eff,e_chi2_posterior,e_chi2_median2,beta_posterior,beta_median2,delta_beta,gb_old_beta,gb_new_beta,spin_cat
IGWN-GWTC4p0-0f954158d_720-GW230518_125908-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,4.55241,0,11711,-0.01241,0.004319,0.000154,0.99136,0.99969,-0.00833,0.82264,1.0,near_zero
IGWN-GWTC4p0-0f954158d_720-GW230529_181500-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM:HighSpin,5.06675,1,5489,-0.11246,0.022446,0.012646,0.95511,0.97471,-0.0196,0.85889,1.0,mid
IGWN-GWTC4p0-0f954158d_720-GW230601_224134-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.30293,1,14438,-0.02015,0.029146,0.000406,0.94171,0.99919,-0.05748,0.87229,1.0,near_zero
IGWN-GWTC4p0-0f954158d_720-GW230605_065343-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.3287,1,15769,0.06829,0.012117,0.004663,0.97577,0.99067,-0.01491,0.83823,1.0,low
IGWN-GWTC4p0-0f954158d_720-GW230606_004305-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.2668,1,13904,-0.13613,0.047134,0.018531,0.90573,0.96294,-0.05721,0.90827,1.0,mid
IGWN-GWTC4p0-0f954158d_720-GW230608_205047-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.32344,1,13528,0.04976,0.025179,0.002476,0.94964,0.99505,-0.04541,0.86436,1.0,near_zero
IGWN-GWTC4p0-0f954158d_720-GW230609_064958-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.27794,1,13019,-0.14268,0.04407,0.020358,0.91186,0.95928,-0.04742,0.90214,1.0,mid
IGWN-GWTC4p0-0f954158d_720-GW230624_113103-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.34441,1,15846,0.13669,0.040467,0.018685,0.91907,0.96263,-0.04357,0.89493,1.0,mid
IGWN-GWTC4p0-0f954158d_720-GW230627_015337-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.33628,1,9688,0.02096,0.00246,0.000439,0.99508,0.99912,-0.00404,0.81892,1.0,near_zero
IGWN-GWTC4p0-0f954158d_720-GW230628_231200-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.36124,1,15446,-0.00228,0.008476,5e-06,0.98305,0.99999,-0.01694,0.83095,1.0,near_zero
IGWN-GWTC4p0-0f954158d_720-GW230630_125806-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.39305,1,16819,0.20262,0.074721,0.041057,0.85056,0.91789,-0.06733,0.96344,1.0,mid
