event,catalog,waveform,erad_strategy,per_sample_chi,M_total_Msun,chi_eff_med,chi_eff_std,redshift,lum_dist_Mpc,mass_ratio,n_seraphim,n_sph_std,n_carrier_schwarz,n_carrier_kerr,kerr_delta_n,n_BBH_theory,gap_schwarz,gap_kerr,alpha_inv,delta_schwarz,delta_kerr,log2_M
GW190731_140936,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,69.3111,0.0525,0.1529,0.5565,3314.5152,0.7077,5.348068,0.13255,137.746946,137.690534,-0.056412,5.313987,132.398878,132.342466,137.035999,-4.637121,-4.693533,6.115014
GW190731_140936,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,66.3946,0.0787,0.1503,0.6609,4082.338,0.7292,5.365238,0.123012,137.684927,137.605308,-0.079619,5.313987,132.319689,132.24007,137.035999,-4.71631,-4.795929,6.052995
GW190803_022701,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,65.0001,-0.0147,0.1526,0.5386,3186.4054,0.7502,5.331171,0.113238,137.654301,137.679701,0.0254,5.313987,132.32313,132.34853,137.035999,-4.712869,-4.687469,6.022369
GW190803_022701,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,63.5518,0.0028,0.1487,0.5922,3572.7986,0.7581,5.340783,0.105032,137.621793,137.625044,0.003251,5.313987,132.28101,132.284261,137.035999,-4.754989,-4.751738,5.989861
GW190805_211137,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,75.4035,0.3868,0.1941,0.933,6229.5858,0.6835,5.49988,0.177256,137.868491,137.406974,-0.461517,5.313987,132.368611,131.907094,137.035999,-4.667388,-5.128905,6.236559
GW190805_211137,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,71.0053,0.4244,0.1858,1.0997,7630.1362,0.6915,5.523814,0.153015,137.781787,137.24195,-0.539837,5.313987,132.257973,131.718136,137.035999,-4.778026,-5.317864,6.149855
GW190814_211039,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,25.9061,0.0037,0.0518,0.0508,232.6956,0.1112,4.188836,0.040036,136.32715,136.322343,-0.004807,5.313987,132.138314,132.133507,137.035999,-4.897685,-4.902492,4.695218
GW190814_211039,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,25.9032,0.0038,0.0518,0.0509,233.3581,0.1112,4.188728,0.040047,136.326989,136.322409,-0.00458,5.313987,132.138261,132.133682,137.035999,-4.897738,-4.902317,4.695057
GW190828_063405,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,57.2082,0.154,0.0938,0.3754,2074.3274,0.8234,5.423405,0.060526,137.470082,137.302596,-0.167486,5.313987,132.046678,131.879191,137.035999,-4.989322,-5.156808,5.83815
GW190828_063405,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,56.6258,0.1604,0.093,0.3932,2190.7979,0.8197,5.425416,0.060339,137.455319,137.276084,-0.179235,5.313987,132.029903,131.850668,137.035999,-5.006096,-5.185331,5.823387
GW190828_065509,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,34.2533,0.0539,0.1029,0.2908,1542.4245,0.4414,5.176814,0.127938,136.730104,136.674582,-0.055522,5.313987,131.55329,131.497768,137.035999,-5.482709,-5.538231,5.098172
GW190828_065509,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,33.8208,0.0553,0.103,0.3078,1646.2219,0.4419,5.178342,0.127833,136.71177,136.645624,-0.066147,5.313987,131.533428,131.467281,137.035999,-5.502571,-5.568718,5.079838
GW190910_112807,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,76.692,-0.0112,0.1095,0.3076,1645.1975,0.7821,5.346701,0.068759,137.892937,137.906367,0.013431,5.313987,132.546236,132.559667,137.035999,-4.489763,-4.476333,6.261005
GW190910_112807,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,75.133,-0.0054,0.1093,0.3448,1877.9223,0.7868,5.350058,0.068156,137.863306,137.875496,0.012189,5.313987,132.513248,132.525437,137.035999,-4.522751,-4.510562,6.231375
GW190915_235702,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,56.6538,-0.0388,0.1255,0.3297,1782.9483,0.7686,5.328455,0.084057,137.456033,137.503551,0.047518,5.313987,132.127578,132.175096,137.035999,-4.908421,-4.860903,5.824101
GW190915_235702,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,56.1627,-0.0297,0.1232,0.346,1885.5073,0.7714,5.332474,0.081487,137.443473,137.482228,0.038754,5.313987,132.111,132.149754,137.035999,-4.924999,-4.886245,5.811541
GW190916_200658,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,68.0116,0.1923,0.1997,0.7664,4891.9623,0.5569,5.345283,0.262675,137.719641,137.487779,-0.231862,5.313987,132.374358,132.142495,137.035999,-4.661641,-4.893504,6.087709
GW190916_200658,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,65.7998,0.2725,0.1985,0.9388,6277.9391,0.5936,5.402735,0.222557,137.671944,137.345985,-0.325958,5.313987,132.269209,131.943251,137.035999,-4.76679,-5.092748,6.040012
GW190917_114630,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,11.7631,-0.076,0.1979,0.1468,717.7028,0.2106,4.661922,0.21511,135.18813,135.271884,0.083754,5.313987,130.526208,130.609962,137.035999,-6.509791,-6.426037,3.556198
